step,avg_interval_loss,train_ppl,lr,grad_norm,interval_sec,steps_per_sec,sec_per_step,examples_seen,approx_epochs,batch_input_len,batch_label_len,cuda_mem_alloc_gb,cuda_mem_peak_gb,text_eval_sec,text_samples,text_batches,bleu,chrf,comet,bleu_en_to_ar,bleu_ar_to_en,chrf_en_to_ar,chrf_ar_to_en
2400,4.894866616278887,133.60218506942778,0.00029753561931448346,1.756454586982727,18.1091570854187,2.208827269614198,0.4527289271354676,307200,0.20619497775617981,29,21,0.8379659652709961,2.747465133666992,4.467895269393921,64,4,0.7459076437580284,10.522782606905484,,0.585924577966425,0.8984192607169983,14.262225743434016,8.438735149067854
2440,4.794318024814129,120.82195610414368,0.0002974321973162668,1.7733995914459229,68.1613256931305,0.5868430461591113,1.7040331423282624,312320,0.2096315607187828,16,16,0.8280277252197266,2.747465133666992,4.431034803390503,64,4,0.8652159581312707,13.660572159327907,,0.6053902351100363,1.1661157487459193,14.891300428911558,12.624952159762115
2480,4.777159583568573,118.76652410220197,0.00029732667037514666,1.8395252227783203,18.021618604660034,2.2195564603534996,0.45054046511650087,317440,0.2130681436813858,19,19,0.8338427543640137,2.747465133666992,4.258551597595215,64,4,0.793986080331983,13.657798330604951,,0.5445196327538386,1.0996215804637623,13.215849892641183,14.004329653686067
2520,4.802979592233896,121.87300893413763,0.0002972190401684205,1.8291174173355103,21.2847957611084,1.8792757256843424,0.53211989402771,322560,0.2165047266439888,20,23,0.8415031433105469,2.747465133666992,4.910264492034912,64,4,0.8529518495767804,13.380350633258614,,0.7487655759436916,0.9123326198049381,13.253334523430492,13.491112920298203
2560,4.7705930665135385,117.98919665622267,0.0002971093084068162,1.922206997871399,18.684942722320557,2.140761178369416,0.4671235680580139,327680,0.2199413096065918,19,20,0.8357501029968262,2.747465133666992,4.282375335693359,64,4,0.9574120066990967,15.16386087242569,,0.6932123111624575,1.2545597083028523,15.281527822482321,15.075698151213118
2600,4.786864613741637,119.92476810766877,0.0002969974768344646,1.6963504552841187,18.840418815612793,2.1230950538558386,0.47101047039031985,332800,0.2233778925691948,19,17,0.8300280570983887,2.747465133666992,4.584749698638916,64,4,0.7406828408272996,12.567070128394953,,0.3803501080427313,1.099736103306932,11.853153549118357,13.046300309051514
2640,4.7954620838165285,120.96026265105172,0.0002968835472288721,1.807479739189148,18.399880170822144,2.173927201082023,0.4599970042705536,337920,0.2268144755317978,35,27,0.8495945930480957,2.747465133666992,4.289771318435669,64,4,0.5430354670378176,13.431376092154688,,0.19109021855878067,0.8509195888759054,10.474764863108485,15.198928687805166
2680,4.696013501286506,109.50974068049985,0.00029676752140089227,1.695436716079712,17.78106188774109,2.2495844316012112,0.44452654719352724,343040,0.23025105849440078,18,17,0.8299975395202637,2.747465133666992,4.20987606048584,64,4,0.8700337761929113,12.47792677942419,,0.5853757514939245,1.1089415896503205,13.13766196625758,12.033923080797418
2720,4.653370015323162,104.93803313479121,0.000296649401194697,1.9009546041488647,18.225250482559204,2.194757215451075,0.45563126206398014,348160,0.23368764145700377,16,19,0.8337502479553223,2.747465133666992,4.246941328048706,64,4,0.9423785963471681,13.628004643340219,,0.7028431059119726,1.1645946285283268,13.446463440303367,13.736364754343732
2760,4.712604424357414,111.3417638179433,0.0002965291884877474,1.8612627983093262,18.193501472473145,2.198587229650114,0.45483753681182865,353280,0.2371242244196068,16,16,0.8280277252197266,2.747465133666992,4.467093467712402,64,4,0.8725872213105095,12.628098603387986,,0.5451054526059217,1.1158642270861059,14.231960274588781,11.484268218592952
2800,4.697137796878815,109.63293123758548,0.0002964068851907637,1.866189956665039,18.419123888015747,2.171655950803701,0.4604780972003937,358400,0.24056080738220978,24,20,0.8359036445617676,2.747465133666992,4.500173330307007,64,4,0.9088368283586211,14.10046677629321,,0.30903811899910266,1.4148864546784918,12.624163278456269,15.068007010459429
2840,4.589124166965485,98.40820325199479,0.0002962824932476951,1.8916056156158447,64.04446578025818,0.6245660653528329,1.6011116445064546,363520,0.24399739034481277,17,17,0.8299670219421387,2.747465133666992,4.3165812492370605,64,4,1.2559536747709659,16.550143341039814,,0.7701783692800694,1.7890557814383037,14.270407867617266,18.240730866736442
2880,4.669859599322081,106.68276304866328,0.00029615601463568866,1.937060832977295,20.174514055252075,1.9826995530326894,0.5043628513813019,368640,0.24743397330741576,20,19,0.8338732719421387,2.747465133666992,4.294920206069946,64,4,1.0056931112480747,13.98408405297359,,0.7692524380541135,1.207184475926476,16.109480785095894,12.76833321419665
2920,4.620997647196054,101.59533789141805,0.00029602745136505804,1.853247880935669,18.463876008987427,2.1663923642321747,0.46159690022468564,373760,0.25087055627001875,20,17,0.8300585746765137,2.747465133666992,4.389432907104492,64,4,0.8210531267961273,12.990404152482721,,0.3235595932101041,1.2173987894316878,12.110348276236945,13.530600334511874
2960,4.6085105240345,100.33459231925681,0.0002958968054792516,2.013744831085205,19.36854338645935,2.0652043471665613,0.48421358466148373,378880,0.25430713923262177,20,20,0.8357806205749512,2.747465133666992,4.333927392959595,64,4,0.83158297810835,12.361424924894644,,0.3989248387334346,1.1543116172314902,14.767693485651613,11.095366222954791
3000,4.617903101444244,101.28143241806909,0.0002957640790548196,2.0909690856933594,18.464820623397827,2.1662815369738126,0.4616205155849457,384000,0.25774372219522473,22,18,0.8320279121398926,2.747465133666992,4.52309775352478,64,4,0.8463999997985249,13.59903006817747,,0.3896765751473146,1.2023763041919537,14.095727714455222,13.123535149656169
3040,4.543226576596498,93.99358888533015,0.0002956292742013816,2.018840789794922,19.875165700912476,2.0125618373165857,0.4968791425228119,389120,0.26118030515782775,22,30,0.8549175262451172,2.747465133666992,4.123645544052124,64,4,0.9618431833812597,16.160180234880677,,0.8977375511290832,1.0217465028918782,17.28197133806513,15.174500012342412
3080,4.54479110762477,94.14075986836464,0.0002954923930615927,1.911639928817749,18.187861919403076,2.199268950757066,0.4546965479850769,394240,0.26461688812043077,48,49,0.8919587135314941,2.747465133666992,4.205728769302368,64,4,0.5583104785179978,13.291353579971798,,0.25899260661269563,0.8256003291988335,11.13487259465509,15.219788686946936
3120,4.500928526371718,90.1007533974939,0.00029535343781110946,2.072889566421509,18.83418369293213,2.123797911932373,0.4708545923233032,399360,0.26805347108303373,21,24,0.8434419631958008,2.747465133666992,4.376717805862427,64,4,0.8809466814242459,15.306506231690777,,0.467766507096509,1.170281577575587,15.571983507408763,15.13347885187838
